Month,2016,Change 2017-2016,2017,Change 2018-2017,2018,Change 2019-2018,2019
Jan.,1264655,,1355974,71171,1427145,36880,1464025
Feb.,1283585,,1328380,80972,1409352,32414,1441766
MÃ¤rz,1457037,,1520600,146492,1667092,-741,1666351
Apr.,1633632,,1851095,112296,1963391,-11412,1951979
Mai,1822745,,1800951,179048,1979999,-30528,1949471
Juni,1731164,165080,1896244,69010,1965254,85263,2050517
Juli,2095993,85378,2181371,75335,2256706,-2314,2254392
Aug.,1967728,101133,2068861,102221,2171082,-11494,
Sept.,1835250,152515,1987765,76827,2064592,-5346,
Okt.,1998350,54578,2052928,97233,2150161,-57921,
Nov.,1384031,72438,1456469,87618,1544087,-23611,
Dez.,1465905,58374,1524279,84996,1609275,,