monat,passagiere_total,lokalpassagiere,veraenderung_zum_vorjahr_lokalpassagiere,veraenderung_lokalp_in_prozent,umsteige-passagiere,umsteige_p_in_prozent,flugbewegungen,passagiere_durch_flugbewegungen,fracht_tonnen
Juni 2020,201692,160697,-1889820,-92.16,37012,18.35,5048,40,19911
Mai 2020,43852,36902,-1912569,-98.11,5310,12.11,3062,14,18903
April 2020,26913,20866,-1931113,-98.93,2812,10.45,1921,14,12177
März 2020,890134,656399,-1009952,-60.61,230910,25.94,11135,80,25491
Februar 2020,2010199,1435073,-6693,-0.46,570510,28.38,18656,108,18656
Januar 2020,2148812,1474997,10972,0.75,667452,31.06,20594,104,33346
December 2019,2332820,1621144,11869,0.74,707162,30.31,20193,116,38461
November 2019,2229902,1520476,-23611,-1.53,703634,31.55,19828,112,39166
October 2019,2869687,2092240,-57921,-2.69,772812,26.93,24054,119,38621
September 2019,2889060,2059246,-5346,-0.26,824502,28.54,24369,119,36410
August 2019,3112270,2159588,-11494,-0.53,947562,30.45,25256,123,35459
Juli 2019,3149819,2254392,-2314,-0.1,889348,28.23,25757,122,37707
Juni 2019,2889636,2050517,85263,4.34,832406,28.81,24717,117,36694
Mai 2019,2717094,1949471,-30528,-1.54,762442,28.06,24441,111,38063
April 2019,2727199,1951979,-11412,-0.58,770584,28.26,23265,117,37508
März 2019,2421744,1666351,-741,-0.04,750128,30.97,22071,110,42231
Februar 2019,2033853,1441766,32414,2.3,587050,28.86,19697,103,36404
Januar 2019,2134608,1464025,36880,2.58,662352,31.03,21680,98,35104
Dezember 2018,2305019,1609275,84996,5.58,690980,29.98,21260,108,41193
November 2018,2214909,1544087,87618,6.02,666362,30.09,21070,105,42251
Oktober 2018,2904250,2150161,97233,4.74,748718,25.78,25085,116,43488
September 2018,2880889,2064592,76827,3.86,810536,28.13,24847,116,40898
August 2018,3099820,2171082,102221,4.94,923132,29.78,25717,121,39393
Juli 2018,3129964,2256706,75335,3.45,866660,27.69,25871,121,41669
Juni 2018,2790179,1965254,69010,3.64,818294,29.33,24677,113,41225
Mai 2018,2710037,1979999,179048,9.94,724780,26.74,24463,111,40779
April 2018,2703568,1963391,112296,6.07,734676,27.17,23503,115,40971
März 2018,2392696,1667092,146492,9.63,719402,30.07,22079,108,44243
Februar 2018,1966362,1409352,80972,6.1,552734,28.11,18834,104,39279
Januar 2018,2016837,1427145,71171,5.25,580478,28.78,21052,96,37833
Dezember 2017,2172291,1524279,58374,3.98,641544,29.53,20099,108,43493
November 2017,2088637,1456469,72438,5.23,626096,29.98,20303,103,44586
Oktober 2017,2758280,2052928,54578,2.73,699800,25.37,24236,114,45683
September 2017,2747462,1987765,152515,8.31,753714,27.43,24392,113,41906
August 2017,2939529,2068861,101133,5.14,865608,29.45,24917,118,40641
Juli 2017,2983582,2181371,85378,4.07,796832,26.71,25103,119,42227
Juni 2017,2629470,1896244,165080,9.54,727458,27.67,24012,110,40418
Mai 2017,2500749,1800951,-21794,-1.2,694938,27.79,24012,104,39012
April 2017,2537301,1851095,217463,13.31,681882,26.87,22354,114,38097
März 2017,2195583,1520600,63563,4.36,669388,30.49,21693,101,43372
Februar 2017,1879198,1328380,44795,3.49,545486,29.03,18736,100,36130
Januar 2017,1964021,1355974,91319,7.22,600836,30.59,20594,95,34887
Dezember 2016,2102422,1465905,,,631646,30.04,20428,103,40383
November 2016,2019155,1384031,,,631044,31.25,20155,100,38627
Oktober 2016,2662445,1998350,,,658972,24.75,23809,112,39587
September 2016,2604520,1835250,,,763944,29.33,24511,106,37493
August 2016,2802393,1967728,,,829158,29.59,25260,111,35302
Juli 2016,2856095,2095993,,,754570,26.42,25410,112,35966
Juni 2016,2376672,1731164,,,639608,26.91,23643,101,36055
Mai 2016,2408714,1822745,,,580362,24.09,23671,102,34228
April 2016,2203305,1633632,,,565562,25.67,21643,102,35320
März 2016,2064221,1457037,,,600712,29.1,21214,97,35744
Februar 2016,1759484,1283585,,,470136,26.72,19060,92,33184
Januar 2016,1806820,1264655,,,532964,29.5,20356,89,31685